name,docstring_length,code_length,examples_length,start_line,file
make_mask_descr,26,31,10,1352,numpy\ma\core.py
CCompiler_customize,26,80,0,479,numpy\distutils\ccompiler.py
ndim,27,32,7,3296,numpy\_core\fromnumeric.py
flatten_mask,27,54,13,1784,numpy\ma\core.py
hermweight,27,33,5,1704,numpy\polynomial\hermite.py
setdiff1d,27,37,5,1140,numpy\lib\_arraysetops_impl.py
anom,27,33,6,5411,numpy\ma\core.py
ptp,27,32,13,762,numpy\matrixlib\defmatrix.py
prod,27,32,13,518,numpy\matrixlib\defmatrix.py
fromrecords,27,63,0,546,numpy\ma\mrecords.py
identity,27,35,6,154,numpy\matlib.py
chebmulx,27,44,4,655,numpy\polynomial\chebyshev.py
rec_append_fields,27,31,0,731,numpy\lib\recfunctions.py
lagweight,27,32,5,1638,numpy\polynomial\laguerre.py
lower,27,33,5,965,numpy\_core\strings.py
basis,27,39,0,1140,numpy\polynomial\_polybase.py
identity,27,36,5,2174,numpy\_core\numeric.py
cyg2win32,27,33,0,386,numpy\distutils\misc_util.py
upper,27,33,5,930,numpy\_core\strings.py
compress_rows,28,36,6,987,numpy\ma\extras.py
mean,28,33,14,416,numpy\matrixlib\defmatrix.py
transpose,28,33,19,7458,numpy\ma\core.py
chebline,28,33,6,476,numpy\polynomial\chebyshev.py
std,28,33,14,450,numpy\matrixlib\defmatrix.py
lagline,28,33,6,214,numpy\polynomial\laguerre.py
find,28,34,4,205,numpy\_core\strings.py
byte_bounds,28,50,11,12,numpy\lib\_array_utils_impl.py
imag,28,33,9,130,numpy\lib\_type_check_impl.py
iscomplexobj,28,38,7,266,numpy\lib\_type_check_impl.py
exists,28,33,0,619,numpy\lib\_datasource.py
polyline,28,33,6,114,numpy\polynomial\polynomial.py
var,28,33,14,484,numpy\matrixlib\defmatrix.py
argmax,28,38,8,5717,numpy\ma\core.py
cumsum,28,40,7,5242,numpy\ma\core.py
sum,28,33,14,290,numpy\matrixlib\defmatrix.py
polymul,28,36,6,336,numpy\polynomial\polynomial.py
unique_all,28,40,0,405,numpy\lib\_arraysetops_impl.py
asmatrix,28,33,10,38,numpy\matrixlib\defmatrix.py
masked_outside,29,38,14,2176,numpy\ma\core.py
min,29,34,13,688,numpy\matrixlib\defmatrix.py
max,29,34,13,614,numpy\matrixlib\defmatrix.py
flatten_dtype,29,35,15,86,numpy\lib\_iotools.py
column_stack,29,40,7,623,numpy\lib\_shape_base_impl.py
masked_inside,29,38,14,2136,numpy\ma\core.py
hermeline,29,34,7,218,numpy\polynomial\hermite_e.py
polyadd,29,34,8,216,numpy\polynomial\polynomial.py
measure,29,44,5,1509,numpy\testing\_private\utils.py
clump_masked,29,37,5,2219,numpy\ma\extras.py
clump_unmasked,29,37,5,2180,numpy\ma\extras.py
matmul,29,34,0,3184,numpy\linalg\_linalg.py
read_array_header_1_0,29,34,0,495,numpy\lib\format.py
trim_zeros,29,50,12,1808,numpy\lib\_function_base_impl.py
polydiv,29,42,8,374,numpy\polynomial\polynomial.py
lagcompanion,29,49,5,1453,numpy\polynomial\laguerre.py
polycompanion,29,46,6,1470,numpy\polynomial\polynomial.py
hermline,30,35,6,218,numpy\polynomial\hermite.py
hermcompanion,30,50,5,1472,numpy\polynomial\hermite.py
capitalize,30,36,7,1038,numpy\_core\strings.py
putmask,30,54,15,7402,numpy\ma\core.py
swapcase,30,36,7,1000,numpy\_core\strings.py
load_library,30,72,0,90,numpy\ctypeslib.py
polysub,30,35,8,252,numpy\polynomial\polynomial.py
nulp_diff,30,61,5,1807,numpy\testing\_private\utils.py
legline,30,35,6,228,numpy\polynomial\legendre.py
degree,30,34,20,689,numpy\polynomial\_polybase.py
compress_cols,30,38,8,1025,numpy\ma\extras.py
ifftshift,30,44,10,77,numpy\fft\_helper.py
size,30,35,8,3338,numpy\_core\fromnumeric.py
diagonal,30,35,0,3036,numpy\linalg\_linalg.py
apply_along_fields,30,39,9,1183,numpy\lib\recfunctions.py
