0: ['swap_count1', 'diff0', 'expect7', 'Falses7', 'Trues19', 'out_len26', 'prom_len19', 'Trues==prom_len True']: .\log\np\np_diff_70B.log
0: ['swap_count1', 'diff0', 'expect7', 'Falses7', 'Trues22', 'out_len29', 'prom_len22', 'Trues==prom_len True']: .\log\np\np_digitize_70B.log
0: ['swap_count1', 'diff0', 'expect6', 'Falses6', 'Trues21', 'out_len27', 'prom_len21', 'Trues==prom_len True']: .\log\np\np_divide_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues12', 'out_len17', 'prom_len12', 'Trues==prom_len True']: .\log\np\np_divmod_70B.log
0: ['swap_count1', 'diff0', 'expect7', 'Falses7', 'Trues25', 'out_len32', 'prom_len25', 'Trues==prom_len True']: .\log\np\np_dot_70B.log
0: ['swap_count1', 'diff0', 'expect8', 'Falses8', 'Trues27', 'out_len35', 'prom_len27', 'Trues==prom_len True']: .\log\np\np_dsplit_70B.log
0: ['swap_count1', 'diff0', 'expect10', 'Falses10', 'Trues16', 'out_len26', 'prom_len16', 'Trues==prom_len True']: .\log\np\np_dstack_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues15', 'out_len20', 'prom_len15', 'Trues==prom_len True']: .\log\np\np_ediff1d_70B.log
0: ['swap_count1', 'diff0', 'expect6', 'Falses6', 'Trues184', 'out_len190', 'prom_len184', 'Trues==prom_len True']: .\log\np\np_einsum_70B.log
0: ['swap_count0', 'diff0', 'expect0', 'Falses0', 'Trues26', 'out_len26', 'prom_len26', 'Trues==prom_len True']: .\log\np\np_einsum_path_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues10', 'out_len15', 'prom_len10', 'Trues==prom_len True']: .\log\np\np_empty_70B.log
0: ['swap_count1', 'diff0', 'expect6', 'Falses6', 'Trues11', 'out_len17', 'prom_len11', 'Trues==prom_len True']: .\log\np\np_empty_like_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues19', 'out_len24', 'prom_len19', 'Trues==prom_len True']: .\log\np\np_equal_70B.log
0: ['swap_count1', 'diff0', 'expect4', 'Falses4', 'Trues5', 'out_len9', 'prom_len5', 'Trues==prom_len True']: .\log\np\np_exp2_70B.log
0: ['swap_count1', 'diff0', 'expect7', 'Falses7', 'Trues11', 'out_len18', 'prom_len11', 'Trues==prom_len True']: .\log\np\np_expm1_70B.log
0: ['swap_count1', 'diff0', 'expect7', 'Falses7', 'Trues21', 'out_len28', 'prom_len21', 'Trues==prom_len True']: .\log\np\np_exp_70B.log
0: ['swap_count1', 'diff0', 'expect7', 'Falses7', 'Trues21', 'out_len28', 'prom_len21', 'Trues==prom_len True']: .\log\np\np_extract_70B.log
0: ['swap_count1', 'diff0', 'expect8', 'Falses8', 'Trues10', 'out_len18', 'prom_len10', 'Trues==prom_len True']: .\log\np\np_eye_70B.log
0: ['swap_count1', 'diff0', 'expect6', 'Falses6', 'Trues7', 'out_len13', 'prom_len7', 'Trues==prom_len True']: .\log\np\np_fabs_70B.log
0: ['swap_count1', 'diff0', 'expect7', 'Falses7', 'Trues77', 'out_len84', 'prom_len77', 'Trues==prom_len True']: .\log\np\np_fill_diagonal_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues9', 'out_len14', 'prom_len9', 'Trues==prom_len True']: .\log\np\np_fix_70B.log
0: ['swap_count1', 'diff0', 'expect6', 'Falses6', 'Trues14', 'out_len20', 'prom_len14', 'Trues==prom_len True']: .\log\np\np_flatnonzero_70B.log
0: ['swap_count1', 'diff0', 'expect6', 'Falses6', 'Trues17', 'out_len23', 'prom_len17', 'Trues==prom_len True']: .\log\np\np_fliplr_70B.log
0: ['swap_count1', 'diff0', 'expect4', 'Falses4', 'Trues20', 'out_len24', 'prom_len20', 'Trues==prom_len True']: .\log\np\np_flipud_70B.log
0: ['swap_count1', 'diff0', 'expect6', 'Falses6', 'Trues33', 'out_len39', 'prom_len33', 'Trues==prom_len True']: .\log\np\np_flip_70B.log
0: ['swap_count1', 'diff0', 'expect8', 'Falses8', 'Trues41', 'out_len49', 'prom_len41', 'Trues==prom_len True']: .\log\np\np_float_power_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues6', 'out_len11', 'prom_len6', 'Trues==prom_len True']: .\log\np\np_floor_70B.log
0: ['swap_count1', 'diff0', 'expect6', 'Falses6', 'Trues14', 'out_len20', 'prom_len14', 'Trues==prom_len True']: .\log\np\np_floor_divide_70B.log
0: ['swap_count1', 'diff0', 'expect4', 'Falses4', 'Trues12', 'out_len16', 'prom_len12', 'Trues==prom_len True']: .\log\np\np_fmax_70B.log
0: ['swap_count1', 'diff0', 'expect3', 'Falses3', 'Trues12', 'out_len15', 'prom_len12', 'Trues==prom_len True']: .\log\np\np_fmin_70B.log
0: ['swap_count1', 'diff0', 'expect4', 'Falses4', 'Trues19', 'out_len23', 'prom_len19', 'Trues==prom_len True']: .\log\np\np_fmod_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues11', 'out_len16', 'prom_len11', 'Trues==prom_len True']: .\log\np\np_format_float_positional_70B.log
0: ['swap_count1', 'diff0', 'expect8', 'Falses8', 'Trues10', 'out_len18', 'prom_len10', 'Trues==prom_len True']: .\log\np\np_format_float_scientific_70B.log
0: ['swap_count1', 'diff0', 'expect11', 'Falses11', 'Trues12', 'out_len23', 'prom_len12', 'Trues==prom_len True']: .\log\np\np_frexp_70B.log
0: ['swap_count1', 'diff0', 'expect7', 'Falses7', 'Trues11', 'out_len18', 'prom_len11', 'Trues==prom_len True']: .\log\np\np_frombuffer_70B.log
0: ['swap_count1', 'diff0', 'expect7', 'Falses7', 'Trues31', 'out_len38', 'prom_len31', 'Trues==prom_len True']: .\log\np\np_fromfile_70B.log
0: ['swap_count1', 'diff0', 'expect8', 'Falses8', 'Trues20', 'out_len28', 'prom_len20', 'Trues==prom_len True']: .\log\np\np_fromfunction_70B.log
0: ['swap_count1', 'diff0', 'expect7', 'Falses7', 'Trues17', 'out_len24', 'prom_len17', 'Trues==prom_len True']: .\log\np\np_fromiter_70B.log
0: ['swap_count1', 'diff0', 'expect8', 'Falses8', 'Trues10', 'out_len18', 'prom_len10', 'Trues==prom_len True']: .\log\np\np_frompyfunc_70B.log
0: ['swap_count1', 'diff0', 'expect11', 'Falses11', 'Trues14', 'out_len25', 'prom_len14', 'Trues==prom_len True']: .\log\np\np_fromregex_70B.log
0: ['swap_count1', 'diff0', 'expect6', 'Falses6', 'Trues7', 'out_len13', 'prom_len7', 'Trues==prom_len True']: .\log\np\np_from_dlpack_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues13', 'out_len18', 'prom_len13', 'Trues==prom_len True']: .\log\np\np_full_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues23', 'out_len28', 'prom_len23', 'Trues==prom_len True']: .\log\np\np_full_like_70B.log
0: ['swap_count1', 'diff0', 'expect8', 'Falses8', 'Trues9', 'out_len17', 'prom_len9', 'Trues==prom_len True']: .\log\np\np_gcd_70B.log
0: ['swap_count1', 'diff0', 'expect12', 'Falses12', 'Trues51', 'out_len63', 'prom_len51', 'Trues==prom_len True']: .\log\np\np_genfromtxt_70B.log
0: ['swap_count1', 'diff0', 'expect13', 'Falses13', 'Trues45', 'out_len58', 'prom_len45', 'Trues==prom_len True']: .\log\np\np_geomspace_70B.log
0: ['swap_count1', 'diff0', 'expect6', 'Falses6', 'Trues5', 'out_len11', 'prom_len5', 'Trues==prom_len True']: .\log\np\np_getbufsize_70B.log
0: ['swap_count1', 'diff0', 'expect6', 'Falses6', 'Trues18', 'out_len24', 'prom_len18', 'Trues==prom_len True']: .\log\np\np_geterrcall_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues17', 'out_len22', 'prom_len17', 'Trues==prom_len True']: .\log\np\np_geterr_70B.log
0: ['swap_count1', 'diff0', 'expect5', 'Falses5', 'Trues5', 'out_len10', 'prom_len5', 'Trues==prom_len True']: .\log\np\np_get_include_70B.log
0: ['swap_count1', 'diff0', 'expect6', 'Falses6', 'Trues12', 'out_len18', 'prom_len12', 'Trues==prom_len True']: .\log\np\np_get_printoptions_70B.log
